RANK,PLAYER,GAMES,RUSHING_ATT,RUSHING_YDS,RUSHING_Y/ATT,RUSHING_YBCON,RUSHING_YBCON/ATT,RUSHING_YACON,RUSHING_YACON/ATT,RUSHING_BRKTKL,RUSHING_TK_LOSS,RUSHING_TK_LOSS_YDS,RUSHING_LNG_TD,BIG_RUSH_PLAYS_10+_YDS,BIG_RUSH_PLAYS_20+_YDS,BIG_RUSH_PLAYS_30+_YDS,BIG_RUSH_PLAYS_40+_YDS,BIG_RUSH_PLAYS_50+_YDS,BIG_RUSH_PLAYS_LNG,RECEIVING_REC,RECEIVING_TGT,RECEIVING_RZ_TGT,RECEIVING_YACON,RUSHING_TD,RECEIVING_YDS,RECEIVING_Y/R,RECEIVING_TD,MISC_FL,MISC_FPTS
69,Le'Veon Bell,1,4,11.0,2.8,10.0,2.5,1,0.3,0,0,0.0,0,0,0,0,0,0,4,0,1,0,0,0.0,0.0,0.0,0.0,0.0,1.1
70,Reggie Gilliam,1,1,1.0,1.0,0.0,0.0,1,1.0,0,0,0.0,0,0,0,0,0,0,1,1,1,0,3,0.0,8.0,8.0,0.0,0.0,0.9
71,Khalil Herbert,1,3,7.0,2.3,4.0,1.3,3,1.0,0,1,-1.0,0,0,0,0,0,0,4,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.7
72,Travis Homer,1,1,5.0,5.0,1.0,1.0,4,4.0,1,0,0.0,0,0,0,0,0,0,5,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.5
73,Michael Burton,1,1,5.0,5.0,1.0,1.0,4,4.0,0,0,0.0,0,0,0,0,0,0,5,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.5
74,Tony Jones Jr.,1,3,8.0,2.7,0.0,0.0,0,0.0,0,0,0.0,0,0,0,0,0,0,3,1,3,0,0,0.0,-3.0,-3.0,0.0,0.0,0.5
75,Patrick Ricard,1,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,1,1,0,0,0.0,4.0,4.0,0.0,0.0,0.4
76,Devonta Freeman,1,1,4.0,4.0,0.0,0.0,0,0.0,0,0,0.0,0,0,0,0,0,0,4,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.4
77,Dare Ogunbowale,1,2,3.0,1.5,0.0,0.0,0,0.0,0,0,0.0,0,0,0,0,0,0,2,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.3
78,Myles Gaskin,1,2,3.0,1.5,0.0,0.0,0,0.0,0,0,0.0,0,0,0,0,0,0,3,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.3
