RANK,PLAYER,GAMES,RUSHING_ATT,RUSHING_YDS,RUSHING_Y/ATT,RUSHING_YBCON,RUSHING_YBCON/ATT,RUSHING_YACON,RUSHING_YACON/ATT,RUSHING_BRKTKL,RUSHING_TK_LOSS,RUSHING_TK_LOSS_YDS,RUSHING_LNG_TD,BIG_RUSH_PLAYS_10+_YDS,BIG_RUSH_PLAYS_20+_YDS,BIG_RUSH_PLAYS_30+_YDS,BIG_RUSH_PLAYS_40+_YDS,BIG_RUSH_PLAYS_50+_YDS,BIG_RUSH_PLAYS_LNG,RECEIVING_REC,RECEIVING_TGT,RECEIVING_RZ_TGT,RECEIVING_YACON,RUSHING_TD,RECEIVING_Y/R,RECEIVING_TD,MISC_FL,MISC_FPTS
62,Ty Chandler,1,1,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,2,2,0,4,0.0,4.5,0.0,0.0,0.9
63,De'Von Achane,1,1,5.0,5.0,0.0,0.0,0,0.0,0,0,0.0,0,0,0,0,0,0,5,1,1,0,0,0.0,4.0,0.0,0.0,0.9
64,Sean Tucker,1,8,7.0,0.9,2.0,0.3,5,0.6,1,2,-6.0,0,0,0,0,0,0,7,0,0,0,0,0.0,0.0,0.0,0.0,0.7
65,Keaontay Ingram,1,2,6.0,3.0,0.0,0.0,0,0.0,0,0,0.0,0,0,0,0,0,0,5,0,0,0,0,0.0,0.0,0.0,0.0,0.6
66,Emari Demercado,1,1,-2.0,-2.0,0.0,0.0,0,0.0,0,1,-2.0,0,0,0,0,0,0,0,2,2,0,0,0.0,3.5,0.0,0.0,0.5
67,Craig Reynolds,1,3,7.0,2.3,4.0,1.3,3,1.0,1,0,0.0,0,0,0,0,0,0,5,1,1,0,0,0.0,-2.0,0.0,0.0,0.5
68,Matt Breida,1,1,5.0,5.0,0.0,0.0,0,0.0,0,0,0.0,0,0,0,0,0,0,5,0,0,0,0,0.0,0.0,0.0,0.0,0.5
69,Ameer Abdullah,1,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,1,3,0,1,0.0,5.0,0.0,0.0,0.5
70,Emanuel Wilson,1,3,5.0,1.7,2.0,0.7,3,1.0,0,1,-5.0,0,0,0,0,0,0,7,0,0,0,0,0.0,0.0,0.0,0.0,0.5
71,Trayveon Williams,1,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,2,2,1,0,0.0,2.0,0.0,0.0,0.4
72,Dare Ogunbowale,1,2,4.0,2.0,1.0,0.5,3,1.5,0,0,0.0,0,0,0,0,0,0,2,0,0,0,0,0.0,0.0,0.0,0.0,0.4
73,Ronnie Rivers,1,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,1,1,0,0,0.0,4.0,0.0,0.0,0.4
